"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18325885591240192,17841405730557330,monicametran,"Mônica Metran","Curvas que seguem o ritmo da vida — cada retorno traz uma nova forma.",0,"11/18/2025 14:30",https://www.instagram.com/p/DRLKXb_CQ4-/,"Carrossel do Instagram",,Total,14661,33,4,3,9,1456,0
18085531279826891,17841405730557330,monicametran,"Mônica Metran","Um pouco mais das inspirações do @leoromanoarquitetura para o nosso novo espaço. ✨",166,"11/17/2025 15:05",https://www.instagram.com/reel/DRLOBPADR_L/,"Reel do Instagram",,Total,6477,124,5,21,6,4785,0
17866212000496799,17841400701760332,isadorametran,Isadora,"#grwm com a Coleção Origem @monicametran 
✨",70,"11/16/2025 14:09",https://www.instagram.com/reel/DRIh9U9DouK/,"Reel do Instagram",,Total,9799,199,9,40,0,,
18112727440575799,17841405730557330,monicametran,"Mônica Metran","A pureza da forma, a beleza sem excessos, a matéria que se basta.",0,"11/15/2025 13:00",https://www.instagram.com/p/DRF2fXqDbIx/,"Carrossel do Instagram",,Total,15548,26,0,2,2,1258,0
18409304686136307,17841405730557330,monicametran,"Mônica Metran","Entre curvas e entrelaços, a vida se repete: o que inicia volta, e no voltar, se renova.",0,"11/15/2025 06:45",https://www.instagram.com/p/DRFLipWiX5y/,"Carrossel do Instagram",,Total,15065,27,6,1,10,1412,0
18050301428364483,17841405730557330,monicametran,"Mônica Metran","O essencial em sua forma mais pura.
Conheça a Coleção Origem.",0,"11/14/2025 13:30",https://www.instagram.com/p/DRDVFOGj1bW/,"Carrossel do Instagram",,Total,15070,32,4,3,10,1619,1
18301686916252454,17841405730557330,monicametran,"Mônica Metran","Do princípio da forma pura, ORIGEM possui a beleza que não precisa de artifício. A matéria fala por si. 
Anel Origem — disponível no M e G — Coleção Origem",10,"11/14/2025 06:45",https://www.instagram.com/reel/DRCmxCND6wO/,"Reel do Instagram",,Total,2586,45,1,7,6,2196,1
18339367798230561,17841405730557330,monicametran,"Mônica Metran","Matéria que não se apaga, não se altera, não se explica. 
Colar Elos Fosco — Coleção Origem.",0,"11/13/2025 14:30",https://www.instagram.com/p/DRA3JWQD6Qc/,"Carrossel do Instagram",,Total,14322,26,3,4,1,1744,0
17930431770137193,17841405730557330,monicametran,"Mônica Metran","Elegância é o que permanece. Ouro, design e tempo.",0,"11/13/2025 06:45",https://www.instagram.com/p/DQ5I0G7D4a1/,"Carrossel do Instagram",,Total,13325,20,1,2,3,1608,0
18082994783087640,17841405730557330,monicametran,"Mônica Metran","Cada curva nos lembra que o simples também pode ser eterno. 
Coleção ORIGEM.",0,"11/12/2025 14:30",https://www.instagram.com/p/DQ-SUnkj7a6/,"Carrossel do Instagram",,Total,14770,46,7,2,8,1704,1
17895559854348288,17841405730557330,monicametran,"Mônica Metran","O ouro, aqui, é presença. Conheça nossa Corrente Elos Origem.",15,"11/12/2025 06:45",https://www.instagram.com/reel/DQ9dJg3jw2b/,"Reel do Instagram",,Total,5107,46,4,5,6,3860,9
18091697344882199,17841405730557330,monicametran,"Mônica Metran","Elegância é o que permanece. Ouro, design e tempo.",16,"11/11/2025 14:30",https://www.instagram.com/reel/DQ7tmgpjxZy/,"Reel do Instagram",,Total,6178,75,24,3,20,4785,15
18096335332789096,17841405730557330,monicametran,"Mônica Metran","Formas circulares, entrelaçadas e orgânicas, o movimento contínuo da vida. Brinco Ciclos G — Coleção Origem.",0,"11/11/2025 06:45",https://www.instagram.com/p/DQ64YLlD4yy/,"Carrossel do Instagram",,Total,14500,60,1,7,13,2216,2
